,focal_bird_id,split,distance,kdistance,n_syll,non_focal_birds,range_0_min,range_1_min,range_0_max,range_1_max
0,24,0,19.816852803834482,23.259403267787626,4,[ 0  3  9 10 11 13 15 16 17 18 20 21 22 27 28],-8.324288,21.734108,-8.324288,21.734108
1,28,1,32.40388318686304,32.0278397232944,5,[ 3  4  6  7  8 11 12 14 15 19 21 23 24 25 26],-8.324288,21.734108,-8.324288,21.734108
2,18,0,34.54447805503936,32.152828835216745,6,[ 0  1  4  5  8 10 11 12 17 20 21 22 25 26 27],-8.324288,21.734108,-8.324288,21.734108
3,30,1,43.4899483813665,43.86551162369895,5,[ 0  2  3  4  5  8 13 14 16 18 22 23 25 28 29],-8.324288,21.734108,-8.324288,21.734108
4,29,0,29.835749156449417,31.413554203861715,4,[ 1  2  4  6  7 10 13 16 17 18 19 23 26 27 30],-8.324288,21.734108,-8.324288,21.734108
5,17,1,23.941655885813674,23.89427035621978,4,[ 0  1  2  8 12 13 14 15 16 19 23 24 27 28 29],-8.324288,21.734108,-8.324288,21.734108
6,8,0,39.721664680941714,43.10587571001527,4,[ 0  2  3  4  5 10 14 18 19 22 23 26 27 28 30],-8.324288,21.734108,-8.324288,21.734108
7,18,1,35.09212147924031,32.167160737066126,6,[ 2  3  6  7  9 13 14 15 16 19 23 24 28 29 30],-8.324288,21.734108,-8.324288,21.734108
8,9,1,37.70142368885418,56.48942806105396,6,[ 0  1  3  5  6  8 12 14 15 16 21 23 24 26 29],-8.324288,21.734108,-8.324288,21.734108
9,29,1,25.53423805015079,28.968987188270948,4,[ 0  3  5  8  9 11 12 14 15 20 21 22 24 25 28],-8.324288,21.734108,-8.324288,21.734108
10,15,1,49.0976270103045,50.80315833735863,6,[ 0  3  5  7  8  9 16 20 21 23 24 25 27 28 30],-8.324288,21.734108,-8.324288,21.734108
11,17,0,24.860648256896226,24.963246634634434,4,[ 3  4  5  6  7  9 10 11 18 20 21 22 25 26 30],-8.324288,21.734108,-8.324288,21.734108
12,26,1,22.90933365195458,22.978411554515944,3,[ 0  3  5  6 14 15 17 18 19 20 21 23 24 25 30],-8.324288,21.734108,-8.324288,21.734108
13,7,1,44.581216130834115,41.63262824932312,8,[ 2  4  5  9 10 17 18 22 23 24 25 26 27 28 30],-8.324288,21.734108,-8.324288,21.734108
14,0,0,40.04795935032053,41.137006977619485,6,[ 1  5  6  9 10 12 13 14 16 17 18 24 25 28 29],-8.324288,21.734108,-8.324288,21.734108
15,3,1,23.778199252418737,25.11792672821899,4,[ 0  1  2  5  8  9 14 19 20 23 24 25 26 27 28],-8.324288,21.734108,-8.324288,21.734108
16,22,0,56.85567319791779,58.51423056959813,8,[ 2  4  5  7 11 12 15 16 17 20 23 24 26 28 30],-8.324288,21.734108,-8.324288,21.734108
17,7,0,27.786991805707572,27.988554724838966,8,[ 0  1  3  6  8 11 12 13 14 15 16 19 20 21 29],-8.324288,21.734108,-8.324288,21.734108
18,15,0,38.48441861910789,38.447718145547725,6,[ 1  2  4  6 10 11 12 13 14 17 18 19 22 26 29],-8.324288,21.734108,-8.324288,21.734108
19,10,0,31.12816311050834,31.277154411752832,5,[ 0  1  2  3  4  5  6  7 11 12 14 16 18 19 26],-8.324288,21.734108,-8.324288,21.734108
20,3,0,31.10311638082559,31.428963868855373,4,[ 4  6  7 10 11 12 13 15 16 17 18 21 22 29 30],-8.324288,21.734108,-8.324288,21.734108
21,4,1,43.12693120431483,45.50877158254703,4,[ 0  7  9 10 11 12 14 18 21 23 25 27 28 29 30],-8.324288,21.734108,-8.324288,21.734108
22,20,1,44.626243644179546,46.14352113170575,4,[ 0  4  5  6  7 13 14 16 21 24 25 27 28 29 30],-8.324288,21.734108,-8.324288,21.734108
23,8,1,39.603269716206476,38.85850150158086,4,[ 1  6  7  9 11 12 13 15 16 17 20 21 24 25 29],-8.324288,21.734108,-8.324288,21.734108
24,12,1,10.376864174785583,10.387613337585094,3,[ 2  3  4  7  8 14 16 17 18 23 25 26 27 29 30],-8.324288,21.734108,-8.324288,21.734108
25,19,1,7.862351121721287,11.951243157304226,3,[ 0  3  5  6  8 10 15 16 18 23 25 26 28 29 30],-8.324288,21.734108,-8.324288,21.734108
26,23,0,41.585868890639624,41.96044657108284,5,[ 0  1  5  6  8  9 10 11 15 17 18 20 24 28 30],-8.324288,21.734108,-8.324288,21.734108
27,23,1,33.506266876998836,33.426660520756904,5,[ 2  3  4  7 12 13 14 16 19 21 22 25 26 27 29],-8.324288,21.734108,-8.324288,21.734108
28,9,0,38.432668524455465,42.2137898109,6,[ 2  4  7 10 11 13 17 18 19 20 22 25 27 28 30],-8.324288,21.734108,-8.324288,21.734108
29,5,0,40.015354207756545,40.92805317084157,4,[ 2  4  7  8 11 15 19 20 21 22 24 25 26 29 30],-8.324288,21.734108,-8.324288,21.734108
30,4,0,30.90345823532749,31.356082112309934,4,[ 1  2  3  5  6  8 13 15 16 17 19 20 22 24 26],-8.324288,21.734108,-8.324288,21.734108
31,13,0,50.839448221265854,50.701491273487676,7,[ 1  2  4  6  9 10 11 12 17 18 21 22 23 25 26],-8.324288,21.734108,-8.324288,21.734108
32,5,1,25.088967776223726,25.58163271798494,4,[ 0  1  3  6  9 10 12 13 14 16 17 18 23 27 28],-8.324288,21.734108,-8.324288,21.734108
33,25,1,35.55045051191168,35.43593342920179,4,[ 0  1  2  4  6  7 13 15 17 18 20 21 24 26 30],-8.324288,21.734108,-8.324288,21.734108
34,22,1,68.43589393626684,67.5738379510954,8,[ 0  1  3  6  8  9 10 13 14 18 19 21 25 27 29],-8.324288,21.734108,-8.324288,21.734108
35,25,0,29.844627285234004,31.494209591289682,4,[ 3  5  8  9 10 11 12 14 16 19 22 23 27 28 29],-8.324288,21.734108,-8.324288,21.734108
36,19,0,30.17051561646507,30.474504219076472,3,[ 1  2  4  7  9 11 12 13 14 17 20 21 22 24 27],-8.324288,21.734108,-8.324288,21.734108
37,27,1,36.64236968343953,38.501247106210386,4,[ 1  2  3  4  6  7 12 13 14 17 19 23 25 26 30],-8.324288,21.734108,-8.324288,21.734108
38,14,0,15.547240449407848,14.977855098875743,4,[ 2  3  4  5  7  9 10 12 13 15 17 23 27 29 30],-8.324288,21.734108,-8.324288,21.734108
39,6,1,32.20956661746308,33.288412798770736,5,[ 1  2  3  9 10 11 12 13 14 15 17 18 21 23 26],-8.324288,21.734108,-8.324288,21.734108
40,26,0,22.42150899621,24.780372692712383,3,[ 1  2  4  7  8  9 10 11 12 13 16 22 27 28 29],-8.324288,21.734108,-8.324288,21.734108
41,28,0,31.6790141611474,32.18900567153082,5,[ 0  1  2  5  9 10 13 16 17 18 20 22 27 29 30],-8.324288,21.734108,-8.324288,21.734108
42,24,1,22.23811310100626,23.077069412074266,4,[ 1  2  4  5  6  7  8 12 14 19 23 25 26 29 30],-8.324288,21.734108,-8.324288,21.734108
43,16,1,13.42770698491197,13.572967129612767,3,[ 4  9 10 13 14 15 18 19 20 21 22 23 25 26 29],-8.324288,21.734108,-8.324288,21.734108
44,13,1,42.159938025419265,42.32515001980434,7,[ 0  3  5  7  8 14 15 16 19 20 24 27 28 29 30],-8.324288,21.734108,-8.324288,21.734108
45,2,1,34.390769882492854,40.273783225278926,6,[ 3  4  5  6  7  8  9 11 13 16 20 21 22 23 26],-8.324288,21.734108,-8.324288,21.734108
46,27,0,26.603484051679864,25.954808299639705,4,[ 0  5  8  9 10 11 15 16 18 20 21 22 24 28 29],-8.324288,21.734108,-8.324288,21.734108
47,2,0,39.79211477649262,44.02760970142536,6,[ 0  1 10 12 14 15 17 18 19 24 25 27 28 29 30],-8.324288,21.734108,-8.324288,21.734108
48,10,1,37.916312059346616,42.456099132555075,5,[ 8  9 13 15 17 20 21 22 23 24 25 27 28 29 30],-8.324288,21.734108,-8.324288,21.734108
49,21,0,36.098125067838076,36.04459268285522,6,[ 2  3  5  9 14 15 18 19 20 22 23 24 25 27 28],-8.324288,21.734108,-8.324288,21.734108
50,21,1,30.403949524214685,30.27126761381861,6,[ 0  1  4  6  7  8 10 11 12 13 16 17 26 29 30],-8.324288,21.734108,-8.324288,21.734108
51,12,0,12.688636565984696,14.422862172564136,3,[ 0  1  5  6  9 10 11 13 15 19 20 21 22 24 28],-8.324288,21.734108,-8.324288,21.734108
52,14,1,27.74577359632653,26.71635513629954,4,[ 0  1  6  8 11 16 18 19 20 21 22 24 25 26 28],-8.324288,21.734108,-8.324288,21.734108
53,0,1,43.18178850965664,48.53219901995273,6,[ 2  3  4  7  8 11 15 19 20 21 22 23 26 27 30],-8.324288,21.734108,-8.324288,21.734108
54,16,0,18.93676714397563,19.15641479213533,3,[ 0  1  2  3  5  6  7  8 11 12 17 24 27 28 30],-8.324288,21.734108,-8.324288,21.734108
55,6,0,26.936095697707064,27.84413134114751,5,[ 0  4  5  7  8 16 19 20 22 24 25 27 28 29 30],-8.324288,21.734108,-8.324288,21.734108
56,11,0,26.810448817919955,29.510557783955967,5,[ 1  4  7 10 13 14 19 20 21 23 25 26 27 28 30],-8.324288,21.734108,-8.324288,21.734108
57,30,0,31.94655752067793,32.05742920568532,5,[ 1  6  7  9 10 11 12 15 17 19 20 21 24 26 27],-8.324288,21.734108,-8.324288,21.734108
58,20,0,19.023781373884862,20.09240076266929,4,[ 1  2  3  8  9 10 11 12 15 17 18 19 22 23 26],-8.324288,21.734108,-8.324288,21.734108
59,11,1,20.94689335469846,31.861053194835723,5,[ 0  2  3  5  6  8  9 12 15 16 17 18 22 24 29],-8.324288,21.734108,-8.324288,21.734108
60,1,1,48.7464172369439,52.31098762387519,5,[ 0  2  3  5  9 10 11 12 18 19 20 21 24 25 29],-8.324288,21.734108,-8.324288,21.734108
61,1,0,36.29658069570394,37.482638329473076,5,[ 4  6  7  8 13 14 15 16 17 22 23 26 27 28 30],-8.324288,21.734108,-8.324288,21.734108
